ticker,date,time,price,volume
ORANGEPL,191024,154609,5.93,332
ORANGEPL,191024,154609,5.93,420
ORANGEPL,191024,154609,5.93,848
ORANGEPL,191024,154632,5.92,419
ORANGEPL,191024,154632,5.92,783
ORANGEPL,191024,154632,5.92,131
ORANGEPL,191024,154632,5.92,839
ORANGEPL,191024,154632,5.92,1118
ORANGEPL,191024,154808,5.93,800
ORANGEPL,191024,154808,5.93,598
ORANGEPL,191024,154808,5.93,390
ORANGEPL,191024,154808,5.93,142
ORANGEPL,191024,154808,5.93,800
ORANGEPL,191024,154808,5.92,74
ORANGEPL,191024,154808,5.92,942
ORANGEPL,191024,154809,5.92,1957
ORANGEPL,191024,154821,5.92,839
ORANGEPL,191024,154840,5.925,800
ORANGEPL,191024,154840,5.92,290
ORANGEPL,191024,154840,5.92,168
ORANGEPL,191024,154840,5.92,785
ORANGEPL,191024,154944,5.93,422
ORANGEPL,191024,155028,5.935,133
ORANGEPL,191024,155133,5.93,699
ORANGEPL,191024,155133,5.93,427
ORANGEPL,191024,155141,5.935,745
ORANGEPL,191024,155141,5.935,353
ORANGEPL,191024,155158,5.93,279
ORANGEPL,191024,155219,5.935,1045
ORANGEPL,191024,155219,5.935,874
ORANGEPL,191024,155248,5.93,280
ORANGEPL,191024,155252,5.93,140
ORANGEPL,191024,155255,5.93,140
ORANGEPL,191024,155257,5.93,139
ORANGEPL,191024,155259,5.93,140
ORANGEPL,191024,155300,5.93,140
ORANGEPL,191024,155302,5.93,280
ORANGEPL,191024,155306,5.93,139
ORANGEPL,191024,155309,5.93,280
ORANGEPL,191024,155309,5.93,3952
ORANGEPL,191024,155309,5.93,370
ORANGEPL,191024,155309,5.93,430
ORANGEPL,191024,155309,5.93,1347
ORANGEPL,191024,155309,5.93,2723
ORANGEPL,191024,155309,5.93,55
ORANGEPL,191024,155355,5.92,55
ORANGEPL,191024,155355,5.92,745
ORANGEPL,191024,155444,5.92,800
ORANGEPL,191024,155501,5.92,444
ORANGEPL,191024,155501,5.92,665
ORANGEPL,191024,155533,5.92,800
ORANGEPL,191024,155553,5.915,280
ORANGEPL,191024,155622,5.92,631
ORANGEPL,191024,155622,5.92,169
ORANGEPL,191024,155628,5.915,140
ORANGEPL,191024,155711,5.92,58
ORANGEPL,191024,155711,5.92,742
ORANGEPL,191024,155800,5.92,656
ORANGEPL,191024,155800,5.92,144
ORANGEPL,191024,155800,5.92,606
ORANGEPL,191024,155800,5.92,1678
ORANGEPL,191024,155805,5.92,1258
ORANGEPL,191024,155823,5.93,452
ORANGEPL,191024,155830,5.925,695
ORANGEPL,191024,155841,5.935,97
ORANGEPL,191024,155921,5.935,893
ORANGEPL,191024,155931,5.93,105
ORANGEPL,191024,155931,5.93,734
ORANGEPL,191024,155931,5.93,9
ORANGEPL,191024,160017,5.945,840
ORANGEPL,191024,160043,5.95,5000
ORANGEPL,191024,160051,5.945,279
ORANGEPL,191024,160051,5.95,2462
ORANGEPL,191024,160051,5.95,2151
ORANGEPL,191024,160106,5.95,1000
ORANGEPL,191024,160127,5.95,60
ORANGEPL,191024,160127,5.95,660
ORANGEPL,191024,160127,5.95,699
ORANGEPL,191024,160127,5.95,325
ORANGEPL,191024,160127,5.95,420
ORANGEPL,191024,160127,5.95,184
ORANGEPL,191024,160127,5.95,69
ORANGEPL,191024,160127,5.95,2583
ORANGEPL,191024,160127,5.95,264
ORANGEPL,191024,160127,5.95,1176
ORANGEPL,191024,160127,5.95,130
ORANGEPL,191024,160149,5.95,699
ORANGEPL,191024,160149,5.95,344
ORANGEPL,191024,160149,5.95,979
ORANGEPL,191024,160149,5.95,339
ORANGEPL,191024,160151,5.945,129
ORANGEPL,191024,160151,5.945,570
ORANGEPL,191024,160152,5.945,1398
ORANGEPL,191024,160202,5.945,279
ORANGEPL,191024,160203,5.93,280
ORANGEPL,191024,160221,5.935,1259
ORANGEPL,191024,160221,5.935,765
